epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;510.501;1.912;1.75076;2.43303;0.91298;0.80206;0.87424;0.43165;1.6941;1.19327;2.17779;0.000666163;0.000666163;0.000666163
2;999.619;1.4499;0.96975;1.84742;0.92377;0.85788;0.91142;0.50911;1.53407;0.83622;1.96308;0.00128885;0.00128885;0.00128885
3;1485.94;1.38081;0.87047;1.77153;0.94605;0.86363;0.92555;0.51699;1.55142;0.75594;1.95427;0.00186753;0.00186753;0.00186753
4;1972.96;1.31337;0.77803;1.71134;0.94621;0.89112;0.94283;0.56482;1.46307;0.69591;1.89196;0.001802;0.001802;0.001802
5;2460.35;1.28414;0.73856;1.67594;0.94658;0.92073;0.95215;0.59179;1.39167;0.62236;1.82025;0.001736;0.001736;0.001736
6;2947.76;1.25493;0.70192;1.65447;0.94835;0.91417;0.95316;0.61484;1.27706;0.60733;1.74159;0.00167;0.00167;0.00167
7;3435.01;1.22408;0.66804;1.62593;0.96464;0.92402;0.96441;0.62982;1.27413;0.56186;1.72286;0.001604;0.001604;0.001604
8;3922.38;1.20697;0.64726;1.61286;0.95935;0.93386;0.96482;0.62417;1.27776;0.56848;1.73671;0.001538;0.001538;0.001538
9;4409.9;1.1912;0.62257;1.59982;0.966;0.93433;0.96884;0.63119;1.271;0.53496;1.72599;0.001472;0.001472;0.001472
10;4897.18;1.1728;0.60365;1.58044;0.95899;0.9322;0.96573;0.64606;1.22735;0.51435;1.69335;0.001406;0.001406;0.001406
11;5385.45;1.15945;0.59175;1.57592;0.9615;0.92547;0.96613;0.64522;1.22614;0.52791;1.70869;0.00134;0.00134;0.00134
12;5871.6;1.14871;0.57617;1.56285;0.96952;0.92308;0.97256;0.65877;1.19511;0.51053;1.66828;0.001274;0.001274;0.001274
13;6359.18;1.13573;0.56588;1.54975;0.96915;0.93293;0.969;0.66185;1.18011;0.49202;1.64022;0.001208;0.001208;0.001208
14;6846.83;1.12072;0.5486;1.52761;0.97141;0.94033;0.9697;0.66428;1.17864;0.47575;1.65243;0.001142;0.001142;0.001142
15;7331.75;1.1141;0.54293;1.52854;0.96825;0.94043;0.97395;0.67556;1.16251;0.46448;1.63128;0.001076;0.001076;0.001076
16;7817.57;1.09614;0.52999;1.51797;0.98094;0.9417;0.97642;0.66596;1.18331;0.45292;1.66137;0.00101;0.00101;0.00101
